"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","timepoint","celltype","sample","info"
"STK33_NOMO_DN",0.204444444444444,0.568235294117647,0.208955027549354,0.451777481025221,1.11213358569063,265,"BCL2;AFF3;MAPKAP1;CAMK1D;BTBD11;CYFIP2;FAM117B;RNF144A;RETREG1;CCR7;CMTM8;ACAP1;CARS2;SIDT2;RASGRP1;VKORC1L1;SLC8A1;MAPK14;TMTC2;DOP1B;MICAL2;DGKZ;MFSD6;SDK2;ST6GALNAC3;LRRK2;PLXND1;PRAM1;NHSL2;TMEM243;ASL;HEATR5A;GCH1;ADCY3;SLC35C2;C16orf74;EGLN3;CR1;TNKS;IDNK;MATN2;CHPT1;LINC00926","Long-term Post-flight","other T","PBMC","C6"
"STK33_SKM_DN",0.0132155392431472,0.173776987640476,0.380730400722792,0.543404095964446,1.33763201742672,258,"RIPOR2;BCL2;TNFAIP8;AFF3;CAMK4;CYFIP2;FAM117B;SNTB1;BICD1;TANC2;SORL1;BANK1;ACAP1;MARCKS;TPD52;NLRC3;CARS2;VCL;SYNJ2;VKORC1L1;MAPK14;ATP8B2;EEF2K;CDK8;CC2D2A;CEMIP;LRRK2;BMP2K;NHSL2;EPHX2;TMEM243;PARP16;ASL;ARMH1;PROCR;CCR2;IL12RB2;ADCY3","Long-term Post-flight","other T","PBMC","C6"
"TBK1.DF_DN",0.660714285714286,0.857291011942175,0.109684061970549,0.376875593020478,0.934777230338852,276,"ANKRD11;MBP;TNRC6B;BPTF;MED13L;CDR2;NCOA3;CDK6;CLEC16A;TSPAN5;PRRC2B;TAF15;SUSD6;SMARCA2;ADAM10;MTAP;ACAP2;TMOD3;BMPR2;HMBOX1;BACH1;HIPK2;NLK;BCL2L1;NSD3;ROCK2;SMURF2;RFX7;GALNT7;RSF1;KLF13;OSBPL3;MPHOSPH9;RMND1;AKAP9;NEK1;CLN5;LUC7L3;CLOCK;MFSD6;KLF7;SLC25A13;PLEKHA1;ANKFY1;ESF1;ZKSCAN1;ATP2B1;TTBK2;AMMECR1;BDH1;LIMS1;TERF2;TCOF1;CBX6;RXRA","Long-term Post-flight","other T","PBMC","C6"
"TBK1.DF_UP",0.0852615432834203,0.41319055591196,0.287805130535564,0.484026001748365,1.20588215738721,280,"TNFAIP8;S100A8;RUNX1;SLCO3A1;VCAN;GALNT10;PIK3CD;LINC00342;ADCY9;PELI1;CAMK2G;ADGRE5;IGF1R;PHTF2;DIPK1A;GOLGA8A;ABR;ITPK1;CHD9;MINDY2;AGO3;AVL9;NCK2;CD83;SLC2A3;PPP3CC;MRTFB;AOPEP;SAP30BP;CCDC6;UXS1;RB1;TTC33;MAST4;STEAP1B;CDK8;RNF38;PPP2R3A;ACVR1;SERTAD2;TEX2;PID1;MAST3;DAAM1;TPST1;BBS1;GPR107;GCH1;TRAM2;DCUN1D2;SLC37A1;TMEM104;NFIL3;ENDOD1;TNFAIP2","Long-term Post-flight","other T","PBMC","C6"
"TBK1.DN.48HRS_DN",0.50599520383693,0.807317299656421,0.0883594442500905,0.499295167525774,0.970496651248841,49,"BCL2;PRKCQ;INPP4B;MSRA;KIAA0100","Long-term Post-flight","other T","PBMC","C6"
"TGFB_UP.V1_UP",0.00843582984122589,0.172248476588031,0.380730400722792,0.592768950229581,1.40009358717357,183,"CHST11;TNFAIP8;SSBP3;SKAP1;PPP2R2B;PIK3CD;NCOR2;MRTFA;ELK3;SLC7A6;MLXIP;TBC1D2B;BMPR2;SMURF1;SMURF2;CYTH1;TFEB;EPHA4;PFKFB3;TULP4;ZCCHC14;KANK1;KLF7;PLEKHA1;PKIA;SGK1;CAPRIN2;MAFB;ZFP36L1;BCOR;PPARD;KLF10;ITGA5;ANK1;CARF;SEC14L2;RNF19B;UBL3;TRIB1;CSF1R","Long-term Post-flight","other T","PBMC","C6"
"WNT_UP.V1_DN",0.617241379310345,0.857291011942175,0.0978773277424561,0.406156089806259,0.937884874483942,156,"FOXN3;NFATC2;CD5;SEPTIN6;TSPAN5;TGFBR3;NCOA2;CD44;SERGEF;TGFBR1;PRH1;CYTH1;ADAM19;CELF1;SINHCAF;NMT2;GRIN2C;ST3GAL2;ADAM12;CD93;HLA-DRB1;PIGN;NAGK;DNAJC11;LSR","Long-term Post-flight","other T","PBMC","C6"
"WNT_UP.V1_UP",0.652482269503546,0.857291011942175,0.096240602328129,0.403789428271223,0.930977869570314,158,"CD96;CLEC16A;DTNB;FOXK1;TPK1;CD74;MAPKBP1;RASGRP2;AP1B1;PLA2G6;FNTB;TCF3;TCF7L2;RAD9A;RBPMS;LANCL2;AP1G2;ADAM28;MAST2","Long-term Post-flight","other T","PBMC","C6"
"YAP1_DN",0.0145936179900047,0.173776987640476,0.380730400722792,0.784903303651248,1.50634937759282,42,"DOCK11;CHCHD3;ORC2;IL4R;RFX1;LIMD1;SLC9A1;MYLIP","Long-term Post-flight","other T","PBMC","C6"
"YAP1_UP",0.554524361948956,0.831786542923434,0.0815265143256594,0.482493927629813,0.925979575059122,42,"MAML2;CAMK4;RFTN1;RAB40C;DDB2;ARHGEF10;CDK14","Long-term Post-flight","other T","PBMC","C6"
"ATF2_S_UP.V1_UP",0.952,0.967354838709677,0.124434168630393,-0.345608711258822,-0.835076572865314,175,"S100A4;IL32;CD8A;PLEKHA2;DDX6;PSMB9","Immediately Post-flight","other T","PBMC","C6"
"ATF2_UP.V1_UP",0.28169014084507,0.554577464788732,0.224966093540314,-0.441072488282462,-1.06530183896924,164,"S100A4;IL32;CD3D;LTB;GZMK;CD8A","Immediately Post-flight","other T","PBMC","C6"
"BCAT_BILD_ET_AL_UP",0.0463629620298859,0.22531438685899,0.321775918075361,-0.71559729591383,-1.36596630917207,43,"RPL27A;RPL37A;EEF2;HMGB1;MYADM;B4GALT1;CALR;ACTN4","Immediately Post-flight","other T","PBMC","C6"
"CAHOY_ASTROGLIAL",0.651428571428571,0.802557184750733,0.127505315300183,-0.409619145431421,-0.911324281455648,95,"ANXA1;EMP3;TSPO;BST2;MSN;TIMP1;LGALS3","Immediately Post-flight","other T","PBMC","C6"
"CAMP_UP.V1_UP",0.387931034482759,0.665217391304348,0.211400189384923,-0.418849877486334,-1.01331817388707,193,"RPL18A;CCL5;CYBA;FOS;PPIB;ATP5MC2;COX8A;HSPA5;PDIA3;PPP1R15A;IFITM1;COPE;HSPA9;SLC25A5;ARF1;ATP5F1B;MT2A;P4HB;HMGB2;TBC1D15;PMAIP1;CD74;MDH2;IFRD1;GAS5;SELENOS;PRMT1;IST1;ATF4;HAX1;HSP90B1;MAGOH;TMED9;MIDN;COPZ1;ATP5F1A;MTHFD2;SLC25A11;SAT2;URM1;RBCK1;SESN2;ILF2;OXA1L;GLRX;APOBEC3C;CCDC124;WIPI1","Immediately Post-flight","other T","PBMC","C6"
"CYCLIN_D1_UP.V1_UP",0.0472921004036994,0.22531438685899,0.321775918075361,-0.525277729586179,-1.2759590370926,173,"NKG7;CD52;MYL6;PPIB;TGFB1;NDUFB7;IFITM1;EIF5A;HNRNPA0;MSN;SPOCK2;UBXN1;CEBPD;PTS;HSD17B10;SUPT5H;GCHFR;REEP5;S100B;PTMS;COX17;GADD45A;NSG1;PLK3;KDM5C;BIN1","Immediately Post-flight","other T","PBMC","C6"
"ESC_V6.5_UP_EARLY.V1_DN",0.0626879486601275,0.252085580782215,0.287805130535564,-0.526253368034353,-1.26196701119434,149,"B2M;S100A4;ANXA1;S100A6;JUNB;CD37;YES1;BHLHE40;AQP3","Immediately Post-flight","other T","PBMC","C6"
"ESC_V6.5_UP_LATE.V1_DN",0.597122302158273,0.778318035226991,0.152144922367565,-0.388900536874429,-0.945440362648524,169,"S100A4;ANXA1;S100A6;PHB;ECH1;TIMP1;TEX14;RRP12;CLTB;BID;SOCS3;LGALS3;ZBTB21;AVPI1;DEDD2;ZNF428;GADD45A;CRCP;PLK3;AP4M1;GGCT;SPTBN4","Immediately Post-flight","other T","PBMC","C6"
"HINATA_NFKB_IMMU_INF",0.0488777241334317,0.22531438685899,0.321775918075361,-0.889551980797203,-1.45780001561132,15,"NFKBIA;NFKB1;IRF1;CD83","Immediately Post-flight","other T","PBMC","C6"
"HINATA_NFKB_MATRIX",0.486772486772487,0.71875,0.143758989039275,-0.599344442000669,-0.982865216488673,11,"ARHGDIA;RAC1","Immediately Post-flight","other T","PBMC","C6"
"IL15_UP.V1_UP",0.725925925925926,0.835733176608875,0.13880510939114,-0.369290873472991,-0.89678416801044,172,"FOS;JUNB;DUSP2;CD69;USP36;LIME1;RGCC;SLC7A5;CCDC85B;LSP1;CCL4;GADD45B;PTPN7;FLT3LG;OSM","Immediately Post-flight","other T","PBMC","C6"
"IL21_UP.V1_UP",0.873333333333333,0.911933701657459,0.11776578836269,-0.354124455124315,-0.861193109413394,160,"NKG7;RGCC;FOSB;SLC7A5;ROR2;MVD","Immediately Post-flight","other T","PBMC","C6"
"IL2_UP.V1_UP",0.306569343065693,0.585268745852688,0.219250346703755,-0.437524841241011,-1.06261254253691,171,"CD52;FOS;JUNB;DUSP2;CD69;KLF6;USP36;RGCC;SLC7A5;CCDC85B;GADD45B;PTPN7;FLT3LG;OSM;SLC2A3","Immediately Post-flight","other T","PBMC","C6"
"LEF1_UP.V1_UP",0.0644897754594483,0.253928490871578,0.287805130535564,-0.508731817620472,-1.21888505095244,180,"S100A4;CXCR4;CST7;CRIP1;EMP3;GZMB;VIM;RGCC;PRF1;LGALS1;ROR2;MSN;GATA3","Immediately Post-flight","other T","PBMC","C6"
"PDGF_ERK_DN.V1_DN",0.476190476190476,0.71875,0.166933848713193,-0.406206700052012,-0.968144652969636,142,"BTG1;ZFP36L2;JUNB;DUSP1;NFKBIA;JUN;PER1;DNAJB1;IL2RG;PNRC1;ARF6;TBCC;FAM89B;BCL7B;THAP11","Immediately Post-flight","other T","PBMC","C6"
"PGF_UP.V1_DN",0.191013708372769,0.456982163069029,0.249246554383295,-0.4805436310677,-1.15766384645874,176,"S100A4;TNFAIP3;CTSW;RELB;LY6E;NCR3;ALOX5AP;RPS4Y1;GYPC;RAB5C;TNFSF12;PXN;CFAP20","Immediately Post-flight","other T","PBMC","C6"
"RB_DN.V1_DN",0.333333333333333,0.629612433693545,0.183023938384487,-0.453246685379619,-1.04433498356318,114,"RPS2;PSME1;FLNA;HSPA5;SARAF;PSME2;SLC7A5;MYADM;BST2;PSMB10;BHLHE40;DDIT4;BCCIP;FURIN;C18orf32;DYNLL1;DNAJC4;CDC42SE2;EIF4E;GADD45A;CAP1;TUBA4A;TMEM42;ARL1;PMVK;NFIL3;DDIT3;NOCT;LMAN1;ATF5;STARD3NL;S1PR5","Immediately Post-flight","other T","PBMC","C6"
"RB_P107_DN.V1_UP",0.00472376647432342,0.052517168449831,0.407017918923954,-0.641025524450006,-1.50553293206281,126,"S100A4;PTMA;DUSP1;CD81;SIVA1;DYNLT1;COL6A2;NXT1;ANAPC11;ETHE1;STMN1;HMGN2;BEX2;TSSC4;BLVRB;RRM1","Immediately Post-flight","other T","PBMC","C6"
"RB_P130_DN.V1_UP",0.716867469879518,0.835733176608875,0.124434168630393,-0.387015358534916,-0.903791307309776,124,"CYBA;HINT1;SNRPB;SDF2L1;LITAF;SELENOH;LSM4;EIF1B;NSMCE1;CARD19;ZNF428;POLR2I;TRAF4;QTRT1;ZBTB17;OXLD1;CUEDC2","Immediately Post-flight","other T","PBMC","C6"
"SIRNA_EIF4GI_UP",0.301675977653631,0.585268745852688,0.191892240384838,-0.485209803459944,-1.07567479048514,91,"HLA-B;ZFP36L2;EIF3K;PSME1;SLC25A5;EID1;SLC25A3;UQCRC2;TCF25;CAMLG;LRPAP1;CEBPD;BTG2;ST13;HSPB1;ATP5F1A;CCT4;NDUFS8;CSDE1;LAP3;AFG3L2;NSG1;SAMM50","Immediately Post-flight","other T","PBMC","C6"
"SRC_UP.V1_UP",1,1,0.110122263835536,-0.30794497699629,-0.743393644913079,161,"FOS;PLAAT4;CHCHD10;SEC11C;MED10;TMUB1;PIN1;MATK;TCEAL3;QPCTL;RFXANK;MRPS34;SVBP","Immediately Post-flight","other T","PBMC","C6"
"VEGF_A_UP.V1_UP",0.620689655172414,0.792637465051258,0.16440575583821,-0.394912628072209,-0.946182413046274,180,"NKG7;IL32;LTB;RELB;LY6E;ID2;ARL4C;ISG20;PSMB8;DDIT4;ITM2A;TNFSF12;ETFB;IRS2;RBMX2;NINJ1;UBE2L6;APOBEC3G","Immediately Post-flight","other T","PBMC","C6"
"ATF2_S_UP.V1_UP",0.441217150760719,0.768525052928723,0.0667426134241917,-0.484033098955521,-1.00918851365803,175,"IL32;S100A4;PSMB9;DDX6;USP9Y;CD8A;BCL7C;ADRB2;UPP1;PTGDS","Long-term Post-flight","other T","PBMC","C6"
"ATF2_UP.V1_UP",0.252413793103448,0.595260710893366,0.0965629554309422,-0.537539966302922,-1.11863014241824,164,"IL32;S100A4;GZMK;CD3D;LTB;NEO1;DNAJC15;MNAT1;ICAM2;NFKBIB;PIN1;CD8A","Long-term Post-flight","other T","PBMC","C6"
"BCAT_BILD_ET_AL_UP",0.12565445026178,0.467144924041476,0.16440575583821,-0.727822020603974,-1.30355627073573,43,"RPL27A;RPL37A;CALR;HMGB1","Long-term Post-flight","other T","PBMC","C6"
"BMI1_DN.V1_DN",0.241481481481482,0.585128205128205,0.103576326612592,-0.562537297365561,-1.13666117598495,127,"S100A4;PDCD4;FOS;IFITM1;CREM;PRDX2;TSPO;IFI6;BST2;CHMP2B;ECH1;TRAPPC6A;TEX14;API5;ETFB;DYNLT3;IFI44L","Long-term Post-flight","other T","PBMC","C6"
"BMI1_DN_MEL18_DN.V1_DN",0.0775988286969253,0.408682634730539,0.193813302725311,-0.629589318580627,-1.28308476814206,138,"S100A4;ID2;DUSP2;PDCD4;FOS;IFITM1;CREM;LY6E;PRDX2;RNF115;IFI6;BST2;DPM3;UBE2L6;AQP3;API5;ETFB;DYNLT3;GNPTAB;KANSL3;MCTS1;IRF9;TSFM","Long-term Post-flight","other T","PBMC","C6"
"BRCA1_DN.V1_UP",0.911278195488722,0.941156169111303,0.0368389606870506,-0.371866758780042,-0.742077124930463,109,"CD3D;TENT5C;USP9Y","Long-term Post-flight","other T","PBMC","C6"
"CAHOY_ASTROCYTIC",0.911076443057722,0.941156169111303,0.0385579101998489,-0.379837588048514,-0.745591698297687,98,"BTG1;RAN;RASA2;STK38L","Long-term Post-flight","other T","PBMC","C6"
"CAHOY_ASTROGLIAL",0.0573643410852713,0.361395348837209,0.234392647294686,-0.67564291045662,-1.32138358590081,95,"ANXA1;EMP3;TSPO;MSN;BST2;TIMP1;ATP8A1;MRPS6;CASP1;LGALS3;TDG;PTRH1;CCNG1;SLC66A3;FAS;PRSS23;COA6","Long-term Post-flight","other T","PBMC","C6"
"CAMP_UP.V1_DN",0.419354838709677,0.766435506241332,0.0678338263479455,-0.486229176079003,-1.02541825295525,196,"TMSB4X;CALM1;ANXA1;RPL7;ID2;HINT1;SEPTIN7;PTPRC;HSP90AA1;HSPA8;CLK1;BZW1;NAP1L1;GLS;SERINC1;ZFP36;MPZL3;EIF4E;DYNLL1;ATP8A1;USP36;USP38;RALGAPA1;SRRM1;LMBR1;TUBA4A;PLEK;MED4;SNRPA;DNAJA1;MFN1;PTBP3;CCND2;SRSF2","Long-term Post-flight","other T","PBMC","C6"
"CAMP_UP.V1_UP",0.0773405698778833,0.408682634730539,0.186432558434075,-0.607136311313424,-1.27646697285759,193,"RPL18A;CCL5;CYBA;FOS;PPIB;COX8A;IFITM1;ATP5MC2;TBC1D15;HSPA5;GAS5;COPE;STAT4;MT2A;SLC25A5;IVNS1ABP;HMGB2;HSP90B1;ATP5F1A;MDH2;WAPL;GLRX;SELENOS;PDIA3;ATP5F1B;OCIAD1;HNRNPU;ATXN7L3B;SSR3;RCHY1;TMED9;APOBEC3C;ARF1;SNW1;MAGOH;UFM1;MTHFD2;PCMTD1;PMAIP1;PRMT1;ILF2;HAX1;PA2G4;ACSL4;UPP1;TAF1D;NDUFB5;IFITM3;MYC;HSPA9;KANSL3;NDUFV1;RBCK1;NME1;KANSL1;CCDC124;RPN1;COPZ1;PYCR2;CZIB;SAT2","Long-term Post-flight","other T","PBMC","C6"
